# 직장인 재충전소 — 블로그 카테고리 120 (직장인 번아웃형 · 야근·스트레스·번아웃)
# 형식: 번호|카테고리명|슬러그|대분류

01|번아웃자가진단|burnout-self-check|번아웃·멘탈
02|번아웃초기신호|burnout-early-signs|번아웃·멘탈
03|번아웃회복단계|burnout-recovery-stages|번아웃·멘탈
04|감정소진극복|emotional-exhaustion|번아웃·멘탈
05|무기력탈출법|overcome-apathy|번아웃·멘탈
06|업무몰입저하|work-engagement-drop|번아웃·멘탈
07|자존감회복|self-esteem-recovery|번아웃·멘탈
08|번아웃예방습관|burnout-prevention|번아웃·멘탈
09|직무회의감|job-dissonance|번아웃·멘탈
10|번아웃우울구분|burnout-depression|번아웃·멘탈
11|번아웃휴가활용|burnout-leave|번아웃·멘탈
12|심리적안전감|psychological-safety|번아웃·멘탈
13|야근후회복|after-overtime|야근·피로
14|야근전준비|before-overtime|야근·피로
15|새벽퇴근케어|late-night-commute|야근·피로
16|연속야근대처|consecutive-overtime|야근·피로
17|야근영양관리|overtime-nutrition|야근·피로
18|야근수면리듬|overtime-sleep-cycle|야근·피로
19|야근눈피로|overtime-eye-strain|야근·피로
20|야근허리통증|overtime-back-pain|야근·피로
21|마감일피로|deadline-fatigue|야근·피로
22|야근카페인조절|overtime-caffeine|야근·피로
23|야근간식추천|overtime-snack|야근·피로
24|야근스트레칭|overtime-stretch|야근·피로
25|야근이후수면|post-overtime-sleep|야근·피로
26|직장스트레스|work-stress|스트레스·감정
27|상사스트레스|boss-stress|스트레스·감정
28|동료갈등|coworker-conflict|스트레스·감정
29|회의스트레스|meeting-stress|스트레스·감정
30|피드백스트레스|feedback-stress|스트레스·감정
31|성과압박|performance-pressure|스트레스·감정
32|불안완화법|anxiety-relief|스트레스·감정
33|분노조절|anger-management|스트레스·감정
34|감정노동|emotional-labor|스트레스·감정
35|스트레스일기|stress-journal|스트레스·감정
36|짜증순간대처|irritation-moment|스트레스·감정
37|눈물참기후케어|after-crying-care|스트레스·감정
38|업무걱정끄기|worry-shutoff|스트레스·감정
39|책상자세교정|desk-posture|데스크·자세
40|거북목케어|tech-neck|데스크·자세
41|라운드숄더|rounded-shoulder|데스크·자세
42|허리통증예방|lower-back-prevention|데스크·자세
43|모니터높이|monitor-height|데스크·자세
44|의자세팅|chair-setup|데스크·자세
45|손목터널|wrist-tunnel|데스크·자세
46|다리붓기|leg-swelling|데스크·자세
47|장시간앉기|sitting-long-hours|데스크·자세
48|스탠딩데스크|standing-desk|데스크·자세
49|발받침활용|footrest-desk|데스크·자세
50|허리쿠션|lumbar-cushion|데스크·자세
51|책상마사지3분|desk-massage-3min|마사지·셀프케어
52|목어깨이완|neck-shoulder-relax|마사지·셀프케어
53|손목마사지|wrist-massage|마사지·셀프케어
54|눈마사지|eye-massage|마사지·셀프케어
55|두피관자놀이|scalp-temple-massage|마사지·셀프케어
56|발종아리마사지|foot-calf-massage|마사지·셀프케어
57|허리셀프케어|lower-back-self-care|마사지·셀프케어
58|폼롤러활용|foam-roller-office|마사지·셀프케어
59|마사지건사무실|massage-gun-office|마사지·셀프케어
60|스트레스볼|stress-ball|마사지·셀프케어
61|점심시간이완|lunch-break-relax|마사지·셀프케어
62|화장실스트레칭|restroom-stretch|마사지·셀프케어
63|엘리베이터호흡|elevator-breath|마사지·셀프케어
64|숙면습관|good-sleep-habit|수면·휴식
65|피로회복수면|fatigue-sleep|수면·휴식
66|낮잠파워낮잠|power-nap|수면·휴식
67|수면부족대처|sleep-deprivation|수면·휴식
68|잠들기전루틴|bedtime-routine|수면·휴식
69|업무걱정잠|work-worry-sleep|수면·휴식
70|주말몰아자기|weekend-catchup-sleep|수면·휴식
71|수면환경|sleep-environment|수면·휴식
72|이갈이스트레스|bruxism-stress|수면·휴식
73|복식호흡|diaphragmatic-breath|호흡·명상
74|4-7-8호흡|breath-4-7-8|호흡·명상
75|박스호흡|box-breathing|호흡·명상
